"Name","MODEL_MAP_FLAG","ATTRACTIVE_FIELD","DAMPING","MAXITER","UPDATES","ACC_VarState_training","L1_Prob_val","L1_LogScore_training","RMSE_LogScore_training","ACC_GraphState_training","RMSE_Prob_val","CrossEntropy_Prob_val","ACC_VarState_val","RMSE_DiffLog_val","RMSE_LogScore_val","RMSE_Prob_training","CrossEntropy_Prob_training","L1_DiffLog_val","L1_LogScore_val","RMSE_DiffLog_training","L1_Prob_training","ACC_GraphState_val","L1_DiffLog_training"
"wild-bush-307","false","true","0.01","10","SEQRND","0.7048","0.3287573831468821","10.358312136447848","15.656744850343866","0.38","0.37354313162076697","Infinity","0.7634","9.670578341847458","13.992349376148644","0.38044918274148454","Infinity","7.388992698382586","9.15770068477359","8.824945456763755","0.32341401107758283","0.46","6.3398096937023105"
"revived-totem-269","true","true","0.7","20","SEQFIX","0.7696","0.35429981210827827","7.146892777929189","13.78490652677858","0.52","0.38280403561242826","Infinity","0.7592","9.784774716852144","13.053770396904945","0.3947661772067799","Infinity","7.77630994746089","6.9017216298226085","8.906018499347766","0.3673713856384158","0.52","6.859390052567608"
"dauntless-snowball-330","true","true","0.5","5","SEQRND","0.7226","0.15871848395466803","31.1729298186336","40.391470457617906","0.12","0.20408195333959356","0.810031388515234","0.7588","1.4733865110437698","40.789443758534595","0.19724791606185624","0.809753813624382","0.9930514767954126","31.868357164661504","1.299670328740736","0.15052016748487948","0.08","0.8575697986616054"
"lucky-pyramid-279","true","true","0.001","5","SEQRND","0.6904","0.3650736954241991","13.639589091773246","21.11580939447178","0.3","0.3998442730171364","Infinity","0.7578","9.158733677903603","24.543688086785536","0.4056040410273282","Infinity","7.138171475817263","13.254640876249027","8.230331526491401","0.37032880920767786","0.38","6.118997510376387"
"copper-dawn-414","false","true","0.3","10","SEQRND","0.7632","0.30408188709020617","12.858795211546004","20.114031145295197","0.38","0.351951440878122","Infinity","0.7564","9.309052927738351","17.466612406532672","0.3368013864742555","Infinity","6.860739373004437","11.54047732049568","8.28166913346913","0.2812818853229284","0.38","5.673744664072385"
"floral-serenity-224","false","true","0.5","10","SEQRND","0.766","0.25166959195137023","17.34757204682574","23.16129531560904","0.22","0.3024375843580957","Infinity","0.756","6.710699127101151","20.899135558247107","0.27893392106583303","Infinity","4.357944848250598","14.56973118307944","5.712425115814729","0.21604071177691225","0.34","3.286774537876435"
"serene-smoke-371","false","true","0.001","10000","SEQRND","0.6978","0.3513929885238409","7.140772774809728","12.04249176858079","0.48","0.392514259679293","Infinity","0.7538","10.191150250400849","9.87682058503193","0.38429747912523665","Infinity","7.969461668593809","4.636654149558411","9.07659153881881","0.3372237559244037","0.6","6.740878258099966"
"divine-glitter-35","false","true","0.7","20","SEQFIX","0.7594","0.2728302675679326","16.65267663885881","21.39488426211939","0.24","0.3196399799077118","Infinity","0.7528","8.254324112298953","19.894811892183437","0.3141554767956222","Infinity","5.694388188099116","14.0760357150279","6.9456628967484","0.2525765285030007","0.34","4.477242194480821"
"likely-serenity-112","true","true","0.9","20","SEQRND","0.7134","0.08711837721318007","34.994175140854075","44.49075063915112","0.04","0.12397657748251471","0.6854151543021202","0.7444","0.5692591342471454","43.28054415365887","0.11186838001314783","0.6968688570141792","0.393844929488562","35.04289123794894","0.5059424356360889","0.07812752279937267","0.02","0.34296148986560293"
"generous-cosmos-158","false","true","0.7","20","PARALL","0.7382","0.207599870377779","22.96417569398755","27.956281507284704","0.1","0.25903303522959104","Infinity","0.7442","4.629932391259306","26.865832706887293","0.24699689373554864","Infinity","2.7035834273256363","21.22968075399129","3.7437176594450303","0.18332042403519153","0.16","1.9673690001921265"
"icy-smoke-192","false","true","0.1","10","PARALL","0.7354","0.24883200813531875","44.5122233950183","73.11841861356159","0.08","0.2997162157215266","Infinity","0.739","6.287610843699999","54.78222778973062","0.2867992845255094","Infinity","3.98921029955931","38.505572317411286","5.285962115203162","0.22241497976779936","0.12","3.034974593097437"
"grateful-flower-298","false","true","0.01","5","SEQRND","0.6996","0.2770120040550828","20.20134778928773","25.333622541278856","0.16","0.32966117753255497","Infinity","0.7366","7.08633301710103","31.621842605090396","0.3160809777365431","Infinity","4.712567530399747","22.205741798174035","6.261851247725263","0.24929681648314","0.22","3.802180051181093"
"cool-flower-221","true","true","0.001","10","SEQRND","0.6812","0.3857688601836562","7.870450655517842","17.634171504815043","0.46","0.4200671287969336","Infinity","0.7364","10.158303955326913","13.233849685221646","0.41539418459967664","Infinity","8.114263112806901","6.198014088703241","9.18152440261928","0.386390199573338","0.56","7.096110960013606"
"kind-sea-161","false","true","0.5","20","SEQFIX","0.7428","0.32257393813729285","9.556114939514606","14.478966340891471","0.42","0.3653090531998836","Infinity","0.7364","9.809969329945329","13.061809408966823","0.3646192518098118","Infinity","7.511813264825195","7.4212306977128195","8.890812171413252","0.3107865393906832","0.46","6.385553154032212"
